rawMax;rawMin;rawAve;rawDev;rawVar;fitMax;fitMin;fitAve
6349.54;3346.76;4372.24;787.48;620132.12;5246.69;3918.73;4372.24
5960.01;3346.76;3949.44;697.72;486808.39;4739.33;3712.67;3949.44
5844.36;3346.76;4359.69;743.45;552722.64;5231.62;3764.80;4359.69
6067.94;3346.76;4349.42;785.49;617000.51;5219.31;3841.89;4349.42
6270.64;3346.76;4203.92;771.32;594930.63;5044.71;3855.21;4203.92
6014.07;3346.76;4054.61;778.36;605840.87;4865.54;3761.67;4054.61
6621.83;3346.76;4651.82;886.13;785234.59;5582.18;4035.49;4651.82
6166.20;3346.76;4609.63;732.30;536257.53;5531.55;3861.66;4609.63
5969.33;3346.76;4345.71;768.50;590585.14;5214.85;3810.96;4345.71
6406.12;3346.76;4203.78;758.09;574702.53;5044.54;3876.61;4203.78
5800.55;3346.76;3963.00;687.35;472445.28;4755.60;3697.20;3963.00
6323.44;3346.76;4341.24;760.90;578973.52;5209.48;3905.64;4341.24
6938.56;3346.76;4184.52;843.34;711224.59;5021.43;3929.94;4184.52
6956.75;3346.76;4031.88;744.47;554229.70;4838.26;3843.00;4031.88
5741.87;3346.76;4378.06;669.96;448844.29;5253.68;3715.93;4378.06
6597.76;3346.76;4408.49;795.42;632687.98;5290.18;3980.89;4408.49
6001.28;3346.76;4284.61;723.16;522962.82;5141.53;3816.46;4284.61
6139.56;3346.76;4475.51;743.69;553069.87;5370.61;3868.35;4475.51
6329.23;3346.76;4342.51;774.01;599094.16;5211.02;3907.22;4342.51
6037.13;3346.76;4493.37;643.79;414470.03;5392.05;3825.89;4493.37
6973.77;3346.76;4396.99;796.87;635002.25;5276.39;4038.57;4396.99
6083.73;3346.76;4278.67;752.90;566853.74;5134.40;3836.88;4278.67
6043.84;3346.76;4179.64;811.25;658128.57;5015.57;3806.17;4179.64
6395.36;3346.76;4077.15;748.89;560832.28;4892.58;3820.23;4077.15
6360.35;3346.76;4006.88;711.51;506253.26;4808.26;3782.11;4006.88
6347.89;3346.76;4077.04;717.97;515486.57;4892.45;3814.82;4077.04
6377.11;3346.76;4054.60;747.58;558875.42;4865.52;3807.45;4054.60
7504.21;3346.76;4045.06;798.45;637527.85;4854.08;3881.75;4045.06
5798.30;3346.76;4430.49;640.39;410101.28;5316.59;3728.42;4430.49
6851.34;3346.76;4469.95;832.92;693762.30;5363.95;4048.30;4469.95
7309.99;3346.76;4524.55;798.72;637948.30;5429.46;4141.92;4524.55
6382.69;3346.76;4018.79;662.09;438359.56;4822.55;3790.29;4018.79
6155.05;3346.76;4107.98;707.25;500205.74;4929.58;3802.46;4107.98
6414.95;3346.76;4031.90;718.95;516884.41;4838.28;3800.06;4031.90
6792.40;3346.76;4454.88;695.89;484263.83;5345.86;4032.51;4454.88
7072.00;3346.76;4517.02;799.60;639367.07;5420.43;4103.24;4517.02
6289.39;3346.76;4296.35;774.69;600137.73;5155.62;3886.95;4296.35
5736.97;3346.76;4455.21;616.05;379514.64;5346.25;3684.65;4455.21
5974.27;3346.76;4252.02;754.19;568798.81;5102.43;3805.03;4252.02
5670.55;3346.76;4436.56;632.34;399850.31;5323.87;3652.94;4436.56
6439.06;3346.76;4264.80;850.00;722503.02;5117.76;3904.65;4264.80
6467.75;3346.76;4091.26;818.41;669796.40;4909.51;3834.92;4091.26
6202.15;3346.76;4090.06;767.19;588582.75;4908.07;3802.18;4090.06
6420.36;3346.76;4099.26;809.37;655084.17;4919.11;3833.46;4099.26
6224.72;3346.76;4021.30;703.24;494540.17;4825.56;3775.09;4021.30
6578.72;3346.76;4402.87;803.92;646281.55;5283.45;3975.46;4402.87
6003.30;3346.76;4155.60;726.93;528421.22;4986.73;3791.77;4155.60
6542.37;3346.76;4161.13;803.23;645181.31;4993.36;3876.51;4161.13
6582.47;3346.76;4694.00;703.84;495396.33;5632.80;4024.26;4694.00
5938.89;3346.76;4573.76;766.41;587389.61;5488.51;3751.57;4573.76
6897.16;3346.76;4650.60;785.78;617450.25;5580.72;4110.78;4650.60
7024.20;3346.76;4272.23;814.15;662846.63;5126.67;3984.88;4272.23
6629.19;3346.76;4491.62;819.76;671998.52;5389.95;4010.49;4491.62
5795.62;3346.76;4212.42;744.13;553735.09;5054.91;3751.77;4212.42
6411.19;3346.76;4420.61;893.70;798701.33;5304.73;3943.66;4420.61
6744.88;3346.76;4120.94;711.92;506825.31;4945.12;3877.77;4120.94
5931.87;3346.76;4147.91;757.83;574305.19;4977.49;3775.36;4147.91
5883.29;3346.76;4501.04;775.51;601416.94;5401.25;3749.30;4501.04
6484.96;3346.76;4369.99;736.39;542269.34;5243.99;3947.15;4369.99
5805.71;3346.76;4191.67;725.80;526779.27;5030.01;3752.82;4191.67
6522.61;3346.76;4160.97;770.19;593192.37;4993.16;3874.06;4160.97
8078.49;3346.76;4105.23;840.43;706325.20;4926.28;3948.50;4105.23
6622.45;3346.76;4323.21;774.70;600159.50;5187.85;3956.01;4323.21
6136.74;3346.76;4259.49;664.03;440935.40;5111.39;3845.29;4259.49
6241.69;3346.76;4197.83;687.92;473228.05;5037.40;3848.23;4197.83
5725.59;3346.76;3967.11;657.85;432764.25;4760.53;3687.21;3967.11
5761.26;3346.76;4109.60;711.89;506792.54;4931.52;3729.99;4109.60
6353.54;3346.76;4199.61;756.61;572458.38;5039.53;3867.04;4199.61
5789.29;3346.76;4312.84;680.17;462628.83;5175.41;3748.44;4312.84
6705.50;3346.76;4160.36;787.77;620574.14;4992.43;3894.37;4160.36
5969.50;3346.76;4178.43;706.00;498441.22;5014.11;3790.39;4178.43
6769.98;3346.76;4495.27;716.07;512755.79;5394.32;4041.33;4495.27
6022.40;3346.76;4419.29;681.92;465017.25;5303.14;3827.96;4419.29
5836.40;3346.76;4354.97;710.09;504234.86;5225.97;3762.20;4354.97
6758.06;3346.76;4440.34;746.39;557102.14;5328.40;4021.32;4440.34
6355.02;3346.76;4247.73;749.27;561402.24;5097.27;3884.51;4247.73
6616.36;3346.76;4124.73;819.41;671429.08;4949.68;3867.16;4124.73
6331.07;3346.76;4549.01;607.26;368770.51;5458.81;3935.22;4549.01
6473.66;3346.76;4488.93;722.61;522169.88;5386.72;3972.27;4488.93
6723.74;3346.76;4568.47;700.04;490061.05;5482.17;4050.55;4568.47
6077.96;3346.76;4311.26;677.18;458569.42;5173.51;3840.53;4311.26
6030.67;3346.76;4466.90;662.15;438444.99;5360.28;3826.97;4466.90
6645.57;3346.76;4532.86;776.83;603471.46;5439.43;4023.90;4532.86
6688.08;3346.76;4411.12;680.77;463445.07;5293.34;3998.73;4411.12
6965.42;3346.76;4575.26;833.16;694150.37;5490.31;4104.94;4575.26
6592.37;3346.76;4488.30;727.84;529745.89;5385.96;4001.29;4488.30
6522.91;3346.76;4519.12;752.24;565871.32;5422.94;3990.32;4519.12
5759.34;3346.76;4119.42;688.82;474478.87;4943.31;3731.24;4119.42
7228.68;3346.76;4562.60;707.29;500254.84;5475.12;4146.45;4562.60
6333.73;3346.76;4251.83;747.12;558190.46;5102.19;3882.15;4251.83
6276.19;3346.76;4113.23;755.89;571376.07;4935.87;3821.72;4113.23
5949.07;3346.76;4422.20;702.82;493956.38;5306.63;3799.25;4422.20
6050.74;3346.76;4462.93;745.57;555879.90;5355.51;3835.48;4462.93
6130.46;3346.76;4181.01;708.00;501265.89;5017.21;3823.16;4181.01
6176.25;3346.76;4169.50;770.99;594430.14;5003.40;3827.61;4169.50
5876.94;3346.76;4541.40;594.70;353662.33;5449.68;3728.94;4541.40
6222.61;3346.76;4124.15;805.80;649313.18;4948.98;3818.59;4124.15
7201.80;3346.76;4532.47;805.29;648499.17;5438.97;4129.81;4532.47
6162.72;3346.76;4493.13;735.98;541659.76;5391.75;3876.12;4493.13
6114.61;3346.76;4610.47;658.21;433246.97;5532.57;3835.77;4610.47
